,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
0,"There are concerns this afternoon a Brisbane bayside project, which is set to be the centrepiece an Olympic whitewater rafting centre, is under threat due to a heritage listing. @ShannonMM9 #9News  https://t.co/HMURQvkzJQ",there are concerns this afternoon a brisbane bayside project  which is set to be the centrepiece an olympic whitewater rafting centre  is under threat due to a heritage listing     9news   ,-0.125,0.375,negative,0.112,0.888,0.0,-0.5267
1,everyone crosses a line while aldo trying to compete at the righteous olympics at the same time 😹😹,everyone crosses a line while aldo trying to compete at the righteous olympics at the same time   ,0.0,0.125,neutral,0.0,1.0,0.0,0.0
2,@OGesports Monkas OLYMPICs GAYS,  monkas olympics gays,0.0,0.0,neutral,0.0,1.0,0.0,0.0
3,"i am not the same person i was before i heard inhaler, black bull, spanish sahara and olympic airways live",i am not the same person i was before i heard inhaler  black bull  spanish sahara and olympic airways live,-0.007575757575757576,0.26458333333333334,neutral,0.0,1.0,0.0,0.0
4,#NSTsports Peng Soon can now dream of qualifying for the 2024 Paris Olympics together with his more experienced partner Cheah Yee See.   #MixedDouble #Badminton #PengSoon #YeeSee    https://t.co/1YJG6xTpsD, nstsports peng soon can now dream of qualifying for the 2024 paris olympics together with his more experienced partner cheah yee see     mixeddouble  badminton  pengsoon  yeesee     ,0.65,0.7,positive,0.0,0.926,0.074,0.25
5,I hope more &amp; more people come forward with such a noble idea of creating such centers for sports which can lead us towards more medals in the Olympics &amp; other championships. @ddsportschannel @kheloindia,i hope more  amp  more people come forward with such a noble idea of creating such centers for sports which can lead us towards more medals in the olympics  amp  other championships     ,0.28214285714285714,0.5392857142857143,positive,0.0,0.697,0.303,0.8834
6,There's even Helsinki Olympic stadium w 36k DAMNNN...,there s even helsinki olympic stadium w 36k damnnn   ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
7,@9thanchen Wooooooow! Thank you for sharing thos angle of his stepping on the ice at the Olympics! Ceirtanly it  is a lot of pressure!!,  wooooooow  thank you for sharing thos angle of his stepping on the ice at the olympics  ceirtanly it  is a lot of pressure  ,0.0,0.0,positive,0.083,0.717,0.2,0.4767
8,"Whistler home to #Whistler #Blackcomb, one of the largest #ski resorts in North America.  Besides skiing and snowboarding, the area offers snowshoeing, tobogganing and ski jumping at the #OlympicPark, a venue for the 2010 Vancouver Winter Olympics.   https://t.co/JygGogaNo6",whistler home to  whistler  blackcomb  one of the largest  ski resorts in north america   besides skiing and snowboarding  the area offers snowshoeing  tobogganing and ski jumping at the  olympicpark  a venue for the 2010 vancouver winter olympics     ,0.1,0.0,neutral,0.0,1.0,0.0,0.0
9,"@DikgangDk @MpNkophe @mandla20 @iDiskiTimes We aren’t good based on the very simple fact- we don’t have the talent. Hence we don’t qualify for major tournaments. Our u23s have been to the odd Olympics and have never won a game. However, you can’t take African youth  footy seriously.",        we aren t good based on the very simple fact  we don t have the talent  hence we don t qualify for major tournaments  our u23s have been to the odd olympics and have never won a game  however  you can t take african youth  footy seriously ,-0.019642857142857146,0.41156462585034015,negative,0.141,0.744,0.115,-0.0767
10,On second thought... bringing the boyfriend into the boardroom wasn't the best idea.   The Premier has fronted cameras to apologise for her decision to bring her partner to the table of olympic discussions.  @10NewsFirstQLD  https://t.co/FpDPYwy1de,on second thought    bringing the boyfriend into the boardroom wasn t the best idea    the premier has fronted cameras to apologise for her decision to bring her partner to the table of olympic discussions       ,0.5,0.15,positive,0.0,0.82,0.18,0.7783
11,"Bidens to host 2020, 2022 US Olympic Teams at White House  https://t.co/mgbhQbQPcb",bidens to host 2020  2022 us olympic teams at white house   ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
